epoch,accuracy,loss,val_accuracy,val_loss
0,0.03257215768098831,5.225824356079102,0.05285118147730827,5.0882768630981445
1,0.058305319398641586,5.0791850090026855,0.06861381232738495,4.928211688995361
2,0.08160426467657089,4.9021406173706055,0.09457580000162125,4.77025842666626
3,0.09702098369598389,4.717560291290283,0.10616596788167953,8.97230119682504e+31
4,0.12171090394258499,4.516733169555664,0.11775614321231842,4.5812087059021
5,0.14709632098674774,4.291508674621582,0.12749189138412476,4.536038398742676
6,0.1722499132156372,4.056642055511475,0.13583680987358093,4.488369464874268
7,0.19508519768714905,3.83170747756958,0.14186370372772217,4.45271110534668
8,0.2350759208202362,3.562880039215088,0.15252666175365448,4.727790207666764e+31
9,0.2781963646411896,3.280529260635376,0.14742697775363922,4.535006523132324
